id,name,author,genre,seria,rating,count_page,language,content,img_url
20,Унесенные ветром,Митчелл Маргарет,Зарубежные любовные романы Исторические любовные романы Классическая литература,,9.68,37,Русский,"Роман американской писательницы Маргарет Митчелл (1900–1949) «Унесенные ветром» (1936) — увлекательное по сюжету, остросоциальное произведение, основной проблемой которого является судьба человеческих ценностей в мире купли-продажи. Действие книги происходит в один из наиболее сложных периодов в истории США и охватывает годы Гражданской войны (1861–1865) и последующей за ней Реконструкции. Данная книга является участником проекта «Испр@влено». Если Вы желаете сообщить об ошибках, опечатках или иных недостатках данной книги, то Вы можете сделать это здесь",https://www.litmir.me/data/Book/0/66000/66095/BC4_1596983891.jpg
21,Унесенные ветром. Том 1,Митчелл Маргарет,Зарубежные любовные романы Исторические любовные романы Классическая литература,,9.67,37,Русский,"«Унесенные ветром» — единственный роман Маргарет Митчелл (1900—1949). Ее жизнь рано оборвалась из-за трагической случайности, но образам Скарлетт О&#39;Хара и Ретта Батлера, рожденным воображением «маленькой смелой женщины» — как называли писательницу американские критики, — суждено жить вечно. Это книга о любви и о войне, о предательстве и верности, о жестокости и о красоте самой жизни. Это одна из тех книг, к которым возвращаешься снова спустя годы и испытываешь радость от встречи...",https://www.litmir.me/data/Book/0/19000/19917/BC4_1597813271.jpg
22,Владения Хаоса (Двор Хаоса),Желязны Роджер Джозеф,Фэнтези,Хроники Амбера #5,9.67,34,Русский,,https://www.litmir.me/data/Book/0/189000/189571/BC4_1490627500.jpg
23,Повесть о настоящем человеке,Полевой Борис Николаевич,Внеклассное чтение Книги о войне Классическая литература,,9.67,20,Русский, Широко известная повесть о Герое Советского Союза летчике Алексее Маресьеве.	Для старшего школьного возраста.,https://www.litmir.me/data/Book/0/68000/68859/BC4_1550579270.jpg
24,Лилия и лев,Дрюон Морис,Зарубежная классика Историческая литература Классическая литература Современная зарубежная литература,Проклятые короли #6,9.67,20,Русский,"Автор цикла исторических романов «Проклятые короли» – французский писатель, публицист и общественный деятель Морис Дрюон (р. 1918) никогда не позволял себе вольного обращения с фактами. Его романы отличает интригующий и захватывающий сюжет, и вместе с тем они максимально приближены к исторической правде. Согласно легенде истоки всех бед, обрушившихся на Францию, таятся в проклятии, которому Великий магистр ордена Тамплиеров подверг короля Филиппа IV Красивого, осудившего его на смерть. Охватывая период с первого десятилетия XIV века до начала Столетней войны между Францией и Англией, Дрюон описывает, как сбывается страшное проклятие на протяжении этих лет.",https://www.litmir.me/data/Book/0/7000/7499/BC4_1490513962.jpg
25,Крестный отец,Пьюзо Марио,Зарубежная классика Классическая литература,,9.66,13,Русский,«Крестный отец» — классический роман о жизни одного из могущественных преступных синдикатов Америки — мафиозном клане дона Корлеоне. Написанная с потрясающей достоверностью книга позволяет читателю без риска для жизни заглянуть в святая святых Мафии.,https://www.litmir.me/data/Book/0/22000/22727/BC4_1597727411.jpg
26,Поллианна,Портер Элинор,Зарубежные детские книги Прочая детская литература,,9.66,5,Русский," Удивительная история девочки-сироты (которую из «чувства долга» взяла к себе суровая тетка), умение которой при любых обстоятельствах радоваться жизни, видеть во всем лучшую сторону помогает не только ей самой, но и окружающим ее людям.  Почти детективные повороты сюжета, психологическая точность, с которой автор создает образы, — все это неизменно привлекает к книге внимание читателей вот уже нескольких поколений.",https://www.litmir.me/data/Book/0/22000/22213/BC4_1597743612.jpg
27,Властелин колец,Толкин Джон Рональд Руэл,Фэнтези Зарубежное фэнтези Классика жанра,Властелин Колец,9.66,69,Русский," &laquo;Властелин Колец&raquo; Джона Толкина повествует о Великой войне за Кольцо, о войне, длившейся не одну тысячу лет. Овладевший Кольцом получает власть над всем живым и мертвым, но при этом должен служить Злу! Юному хоббиту Фродо выпадает участь уничтожить Кольцо. Он отправляется через Мордор к огненной Горе Судьбы, в которой кольцо было отлито &mdash; только там, в адском пекле, оно может быть уничтожено. Фродо и его друзьям (в числе которых эльфы, гномы и люди) противостоит Саурон, желающий получить назад свое драгоценное Кольцо и обрести власть над миром.",https://www.litmir.me/data/Book/0/110000/110008/BC4_1490564063.jpg
28,Можно попросить Нину?,Булычев Кир,Классика жанра Фантастика,Рассказы,9.66,1,Русский,,https://www.litmir.me/data/Book/0/203000/203557/BC4_1594963880.jpg
29,Железный король,Дрюон Морис,Зарубежная классика Историческая литература Классическая литература Современная зарубежная литература,Проклятые короли #1,9.66,18,Русский,"Автор цикла исторических романов «Проклятые короли» – французский писатель, публицист и общественный деятель Морис Дрюон (р. 1918) никогда не позволял себе вольного обращения с фактами. Его романы отличает интригующий и захватывающий сюжет, и вместе с тем они максимально приближены к исторической правде. Согласно легенде истоки всех бед, обрушившихся на Францию, таятся в проклятии, которому Великий магистр ордена Тамплиеров подверг короля Филиппа IV Красивого, осудившего его на смерть. Охватывая период с первого десятилетия XIV века до начала Столетней войны между Францией и Англией, Дрюон описывает, как сбывается страшное проклятие на протяжении этих лет.",https://www.litmir.me/data/Book/0/7000/7504/BC4_1490513970.jpg
30,Одиссея капитана Блада. Хроника капитана Блада,Сабатини Рафаэль,Зарубежные приключения Морские приключения,Библиотека приключений #18,9.66,136,Русский,,https://www.litmir.me/data/Book/0/141000/141336/BC4_1490588506.jpg
31,Рукоять меча,Раткевич Элеонора Генриховна,Фэнтези,Деревянный Меч #2,9.66,20,Русский,"Можно ли изменить реальность, не изменив при этом судьбу? Могут ли все перемены быть переменами к лучшему? И как быть герою, если победа над Злом в одном его проявлении породила новое, не менее грозное воплощение Зла? Борьба во имя Добра длится вечно, и тот, кто вступает в эту борьбу, должен понять: здесь важна жизнь не только целого мира, не только целого королевства – важна жизнь и душа каждого человека... Так продолжается история Деревянного Меча...",https://www.litmir.me/data/Book/0/22000/22979/BC4_1597721171.jpg
32,Лабиринт Мёнина,Фрай Макс,Фэнтези,Лабиринты Ехо #8,9.66,22,Русский,"В книгу вошли повести «Белые камни Харумбы», «Лабиринт Менина» и «Тихий Город». Безрассудный и обаятельный сэр Макс в очередной раз спасает Мир Ехо, так полюбившийся ему.",https://www.litmir.me/data/Book/0/32000/32845/BC4_1597384511.jpg
33,Судьба человека (с илл.),Шолохов Михаил Александрович,Классическая литература,,9.66,8,Русский,,https://www.litmir.me/data/Book/0/203000/203436/BC4_1490643082.jpg
34,Негоже лилиям прясть,Дрюон Морис,Зарубежная классика Историческая литература Классическая литература Современная зарубежная литература,Проклятые короли #4,9.66,16,Русский,"Автор цикла исторических романов «Проклятые короли» – французский писатель, публицист и общественный деятель Морис Дрюон (р. 1918) никогда не позволял себе вольного обращения с фактами. Его романы отличает интригующий и захватывающий сюжет, и вместе с тем они максимально приближены к исторической правде. Согласно легенде истоки всех бед, обрушившихся на Францию, таятся в проклятии, которому Великий магистр ордена Тамплиеров подверг короля Филиппа IV Красивого, осудившего его на смерть. Охватывая период с первого десятилетия XIV века до начала Столетней войны между Францией и Англией, Дрюон описывает, как сбывается страшное проклятие на протяжении этих лет.",https://www.litmir.me/data/Book/0/7000/7500/BC4_1490513963.jpg
35,О всех созданиях – больших и малых,Хэрриот Джеймс,Домашние животные,Записки ветеринара #1,9.66,112,Русский,,https://www.litmir.me/data/Book/0/12000/12348/BC4_1490515870.jpg
36,Последний лист,О.Генри Уильям,Новелла,,9.65,2,Русский," Один из самых известных юмористов в мировой литературе, О. Генри создал уникальную панораму американской жизни на рубеже XIX–XX веков, в гротескных ситуациях передал контрасты и парадоксы своей эпохи, открывшей простор для людей с деловой хваткой, которых игра случая то возносит на вершину успеха, то низвергает на самое дно жизни.  «В небольшом квартале к западу от Вашингтон-сквера улицы перепутались и переломались в короткие полоски, именуемые проездами. Эти проезды образуют странные углы и кривые линии. Одна улица там даже пересекает самое себя раза два. Некоему художнику удалось открыть весьма ценное свойство этой улицы. Предположим, сборщик из магазина со счетом за краски, бумагу и холст повстречает там самого себя, идущего восвояси, не получив ни единого цента по счету!..»",https://www.litmir.me/data/Book/0/81000/81089/BC4_1490551803.jpg
