id,name,site_buy,date,town,price,age,img_url,content,id_cultural
630,Мастер-класс гавайского танца «Хула»,0,17 октября 2016,Москва,0,6+,https://www.2do2go.ru/uploads/3d82bb6f038dad37417a9860fb615453_w500_h500.jpg,0,0
631,Праздничный концерт в честь 70-летия Великой Победы,0,8 мая 2015,Москва,от 200,12+,https://www.2do2go.ru/uploads/653d95bc9d23e40079ee0769a192380f_w500_h500.jpg,0,0
632,Спектакль «Новогодние приключения сестрицы Аленушки и братца Иванушки»,0,29 декабря 2015,Москва,0,6+,https://www.2do2go.ru/uploads/d274a83c676427cc27c713e0763bda13_w500_h500.jpg,0,0
633,Фестиваль Gothic&amp;Lolita,0,28 сентября 2014,Москва,от 550,12+,https://www.2do2go.ru/uploads/53a55c5ad8d56aa90630d9292f4064a0_w500_h500.jpg,0,0
634,Мастер-класс по джаз-модерну,0,10 мая 2014,Москва,от 2500,12+,https://www.2do2go.ru/uploads/a42a79074f9e3bb42ac7888b58c163f8_w500_h500.jpg,0,0
635,День открытых дверей в учебном центре Edu-Craft,0,23 августа 2014,Москва,0,12+,https://www.2do2go.ru/uploads/041b75b9cca198773feaabadd92e8e16_w500_h500.jpg,0,0
636,Семейный фестиваль Art &amp; Family,0,17 мая 2014,Москва,0,12+,https://www.2do2go.ru/uploads/d5015cf84a09a500ac4970aa7dceeb4d_w500_h500.jpg,0,0
637,Интерактивный познавательный концерт «Волшебный сундучок»,0,12 апреля 2014,Москва,200 — 1000,12+,https://www.2do2go.ru/uploads/7b4c3ed2d0e50072f83ad675ae80a5ec_w500_h500.jpg,0,0
638,Концерт для детей от 1 месяца «Великое танго А.Пьяццолла»,0,16 марта 2014,Москва,от 1000,12+,https://www.2do2go.ru/uploads/76005ddc4e6d32ad7cf1090ee399122e_w500_h500.jpg,0,0
639,Живой квест «Бегство через Атлантику»,0,23 февраля 2017,Москва,от 900,12+,https://www.2do2go.ru/uploads/80752a018ff76a2d6cd4e73e33a3c4e0_w500_h500.jpg,"Май 1945 года. Германия подписывает акт о безоговорочной капитуляции. Идёт подготовка к суду над нацистскими преступниками. Многие из них пытаются спастись, смешавшись с потоком беженцев, наводнившим Европу. Основным приютом для нацистов стали страны Латинской Америки. Но армия союзников пытается им помешать. Между тем из испанского порта Кадис вышла комфортабельная яхта с красивым названием «Глория» и взяла курс через просторы Атлантики на бразильский порт Рио-де-Жанейро. Яхта принадлежит капитану Мишелю Вилья. Он известен тем, что соглашается перевозить кого угодно и что угодно, если за это платят. Вот и сейчас на борту его яхты собрались люди, изъявившие желание отплыть в Рио-де-Жанейро. Все они заплатили достаточно, чтобы капитан не проявлял интереса к их прошлому. Кто есть кто? Какой груз перевозит яхта? Что хранит в своём сейфе капитан? Кому можно доверять? Всё это вам предстоит выяснить! Подробнее — на .",0
640,Квест «Ночь в музее»,0,21 мая 2016,Москва,250 — 800,12+,https://www.2do2go.ru/uploads/a320de977e5b13432a2fb528f7a0fe4f_w500_h500.jpg,0,0
641,Бесплатный мастер-класс по программе «Ментальная арифметика UCMAS»,0,27 ноября 2015,Москва,0,0+,https://www.2do2go.ru/uploads/81f45a49d04e9110150fb1bcd4a814da_w500_h500.jpg,0,0
642,Концерт для детей от 1 месяца «Бах танцует»,0,23 марта 2014,Москва,от 1000,12+,https://www.2do2go.ru/uploads/76005ddc4e6d32ad7cf1090ee399122e_w500_h500.jpg,0,0
